station_id,target,date,month,season,abs_error
KORD,MaxT,2025-07-01,7,Summer,1.3308552090491048
KORD,MaxT,2025-07-02,7,Summer,0.010648636914027065
KORD,MaxT,2025-07-03,7,Summer,2.055253889555871
KORD,MaxT,2025-07-04,7,Summer,1.472865763848361
KORD,MaxT,2025-07-05,7,Summer,0.565626322835584
KORD,MaxT,2025-07-06,7,Summer,1.4965791263844608
KORD,MaxT,2025-07-07,7,Summer,0.23516625165973437
KORD,MaxT,2025-07-08,7,Summer,0.4794288360021568
KORD,MaxT,2025-07-09,7,Summer,1.591760935890548
KORD,MaxT,2025-07-10,7,Summer,0.4631101688379573
KORD,MaxT,2025-07-11,7,Summer,0.7472358094730254
KORD,MaxT,2025-07-12,7,Summer,0.1989146847610357
KORD,MaxT,2025-07-13,7,Summer,1.54594277437009
KORD,MaxT,2025-07-14,7,Summer,0.8597626467256418
KORD,MaxT,2025-07-15,7,Summer,0.15610480025367224
KORD,MaxT,2025-07-16,7,Summer,1.7787055131050664
KORD,MaxT,2025-07-17,7,Summer,0.9829267294484225
KORD,MaxT,2025-07-18,7,Summer,2.1173158067576736
KORD,MaxT,2025-07-19,7,Summer,0.8988287538490738
KORD,MaxT,2025-07-20,7,Summer,0.32479895085209876
KORD,MaxT,2025-07-21,7,Summer,2.6228908790773318
KORD,MaxT,2025-07-22,7,Summer,2.2147719357390088
KORD,MaxT,2025-07-23,7,Summer,1.0325389330023569
KORD,MaxT,2025-07-24,7,Summer,0.8638285442626739
KORD,MaxT,2025-07-25,7,Summer,0.6098739886080864
KORD,MaxT,2025-07-26,7,Summer,1.6681560263144632
KORD,MaxT,2025-07-27,7,Summer,1.958932666676688
KORD,MaxT,2025-07-28,7,Summer,0.19218316471760488
KORD,MaxT,2025-07-29,7,Summer,0.4920816769565448
KORD,MaxT,2025-07-30,7,Summer,0.6478724822592028
KORD,MaxT,2025-07-31,7,Summer,2.5792341905575995
KORD,MaxT,2025-08-01,8,Summer,2.669699597144543
KORD,MaxT,2025-08-02,8,Summer,2.626938745390987
KORD,MaxT,2025-08-03,8,Summer,2.6060555018953693
KORD,MaxT,2025-08-04,8,Summer,0.947671292770579
KORD,MaxT,2025-08-05,8,Summer,0.9305048723399523
KORD,MaxT,2025-08-06,8,Summer,0.3152816101018914
KORD,MaxT,2025-08-07,8,Summer,0.03439010872678239
KORD,MaxT,2025-08-08,8,Summer,0.36804777961162927
KORD,MaxT,2025-08-09,8,Summer,0.20624690773350096
KORD,MaxT,2025-08-10,8,Summer,0.6919432162009258
KORD,MaxT,2025-08-11,8,Summer,0.15690179527011594
KORD,MaxT,2025-08-12,8,Summer,0.2006160422482708
KORD,MaxT,2025-08-13,8,Summer,0.8397260721926756
KORD,MaxT,2025-08-14,8,Summer,0.9705573750735823
KORD,MaxT,2025-08-15,8,Summer,0.9893143084937748
KORD,MaxT,2025-08-16,8,Summer,0.825094769598465
KORD,MaxT,2025-08-17,8,Summer,0.2024715317315895
KORD,MaxT,2025-08-18,8,Summer,1.2743680509874622
KORD,MaxT,2025-08-19,8,Summer,0.8721248902062939
KORD,MaxT,2025-08-20,8,Summer,1.8750464308634776
KORD,MaxT,2025-08-21,8,Summer,2.616851719771887
KORD,MaxT,2025-08-22,8,Summer,0.12417893867105079
KORD,MaxT,2025-08-23,8,Summer,1.5469759826238203
KORD,MaxT,2025-08-24,8,Summer,0.9536672598106009
KORD,MaxT,2025-08-25,8,Summer,0.7212107131549743
KORD,MaxT,2025-08-26,8,Summer,0.09919751935481713
KORD,MaxT,2025-08-27,8,Summer,1.1775604593489533
KORD,MaxT,2025-08-28,8,Summer,0.3373942764743276
KORD,MaxT,2025-08-29,8,Summer,2.200932262350321
KORD,MaxT,2025-08-30,8,Summer,0.5253616748586722
